,title,link
0,"Kontribusi Terhadap Keberlanjutan Lingkungan, UNAIR Raih 4 Trees Rating dari UI Greenmetric",https://www.unair.ac.id/kontribusi-terhadap-keberlanjutan-lingkungan-unair-raih-4-trees-rating-dari-ui-greenmetric/
1,FK UNAIR Sambut 31 PPDS Program Hybrid TNI,https://www.unair.ac.id/fk-unair-sambut-31-ppds-program-hybrid-tni/
2,Dekan FH UNAIR: Pendidikan Hukum Harus Berubah Agar Dapat Mencetak Pemimpin Masa Depan,https://www.unair.ac.id/dekan-fh-unair-pendidikan-hukum-harus-berubah-agar-dapat-mencetak-pemimpin-masa-depan/
3,"Jalani Hidup Sehat, Ini Yang Perlu Disiapkan",https://www.unair.ac.id/jalani-hidup-sehat-ini-yang-perlu-disiapkan/
4,"5 Mahasiswa UNAIR Ikuti Student Exchange dan Konferensi di Thailand, Malaysia, dan Singapura",https://www.unair.ac.id/5-mahasiswa-unair-ikuti-student-exchange-dan-konferensi-di-thailand-malaysia-dan-singapura/
5,Departemen Komunikasi UNAIR Gelar Kuliah Tamu Kesehatan Mental Remaja,https://www.unair.ac.id/departemen-komunikasi-unair-gelar-kuliah-tamu-kesehatan-mental-remaja/
6,Waspadai Resistensi Antibiotik Saat Sakit,https://www.unair.ac.id/waspadai-resistensi-antibiotik-saat-sakit/
7,"Dosen Toksikologi UNAIR Paparkan Toksisitas Etilen Glikol, Senyawa Kimia yang Diduga Penyebab Gagal Ginjal Akut pada Anak",https://www.unair.ac.id/dosen-toksikologi-unair-paparkan-toksisitas-etilen-glikol-senyawa-kimia-yang-diduga-penyebab-gagal-ginjal-akut-pada-anak/
8,Dosen UNAIR Dorong Percepatan Kastrasi Jantan untuk Tekan Populasi Kucing Liar,https://www.unair.ac.id/dosen-unair-dorong-percepatan-kastrasi-jantan-untuk-tekan-populasi-kucing-liar/
9,Dua Mahasiswa Perikanan UNAIR Ikuti Summer School di Hiroshima University,https://www.unair.ac.id/dua-mahasiswa-perikanan-unair-ikuti-summer-school-di-hiroshima-university/
10,"Sambut Pertukaran Mahasiswa, Rektor UNAIR: Pulang Harus Jadi Orang Hebat",https://www.unair.ac.id/sambut-pertukaran-mahasiswa-rektor-unair-pulang-harus-jadi-orang-hebat/
11,"Mawapres FK UNAIR, Sebulan Borong 4 Gelar Juara",https://www.unair.ac.id/mawapres-fk-unair-sebulan-borong-4-gelar-juara/
12,Mahasiswa Ilmu Sejarah UNAIR Dinobatkan sebagai Putri Pariwisata Kalimantan Timur 2022,https://www.unair.ac.id/mahasiswa-ilmu-sejarah-unair-dinobatkan-sebagai-putri-pariwisata-kalimantan-timur-2022/
13,Kajian Sejarah Pers Indonesia Bawa Mahasiswa FIB Sabet Juara 3 LKTIN di UI,https://www.unair.ac.id/kajian-sejarah-pers-indonesia-bawa-mahasiswa-fib-sabet-juara-3-lktin-di-ui/
14,Mahasiswa Farmasi UNAIR Cetuskan Ide Pengobatan Kanker Payudara Berbasis Daun Pepaya,https://www.unair.ac.id/mahasiswa-farmasi-unair-cetuskan-ide-pengobatan-kanker-payudara-berbasis-daun-pepaya/
15,Inovasi Dosen FPK UNAIR Manfaatkan Limbah PT. Ajinomoto Sebagai Pakan Ikan,https://www.unair.ac.id/inovasi-dosen-fpk-unair-manfaatkan-limbah-pt-ajinomoto-sebagai-pakan-ikan/
16,Peneliti FKM UNAIR Kembangkan Formula Fermentasi Bawang untuk Lansia Pasca Vaksinasi,https://www.unair.ac.id/peneliti-fkm-unair-kembangkan-formula-fermentasi-bawang-untuk-lansia-pasca-vaksinasi/
17,Ketua KPK Kunjungi UNAIR,https://www.unair.ac.id/ketua-kpk-kunjungi-unair/
18,UNAIR Terima Kunjungan Dubes Pakistan,https://www.unair.ac.id/unair-terima-kunjungan-dubes-pakistan/
19,MoU UNAIR-Pemkab Banyuwangi Perkuat Kerjasama Bidang Pendidikan,https://www.unair.ac.id/mou-unair-pemkab-banyuwangi-perkuat-kerjasama-bidang-pendidikan/
20,Efek Penggunaan Chlorhexidine dan Povidone-Iodine Terhadap viral load SARS-CoV-2,https://www.unair.ac.id/efek-penggunaan-chlorhexidine-dan-povidone-iodine-terhadap-viral-load-sars-cov-2/
21,Scaffold Nanofiber Berbasis Polylacticacid-Polycaprolactone Untuk Cedera Anterior Cruciate Ligament,https://www.unair.ac.id/scaffold-nanofiber-berbasis-polylacticacid-polycaprolactone-untuk-cedera-anterior-cruciate-ligament/
